obsnme,obsval,weight,obgnme
tailwater_20160731,-359.55,1.0,tailwater
tailwater_20160831,-226.66,1.0,tailwater
tailwater_20160930,-160.79,1.0,tailwater
tailwater_20161031,-172.44,1.0,tailwater
tailwater_20161130,-267.93,1.0,tailwater
tailwater_20161231,-428.7,1.0,tailwater
tailwater_20170131,-603.87,1.0,tailwater
tailwater_20170228,-731.01,1.0,tailwater
tailwater_20170331,-786.72,1.0,tailwater
tailwater_20170430,-751.62,1.0,tailwater
tailwater_20170531,-631.37,1.0,tailwater
tailwater_20170630,-468.41,1.0,tailwater
tailwater_20170731,-305.75,1.0,tailwater
tailwater_20170831,-192.66,1.0,tailwater
tailwater_20170930,-162.7,1.0,tailwater
tailwater_20171031,-214.3,1.0,tailwater
tailwater_20171130,-343.89,1.0,tailwater
tailwater_20171231,-517.19,1.0,tailwater
trgw_0_13_10_20151231,34.263000000000005,1.0,trgw_0_13_10
trgw_0_13_10_20160131,34.385999999999996,1.0,trgw_0_13_10
trgw_0_13_10_20160229,34.486999999999995,1.0,trgw_0_13_10
trgw_0_13_10_20160331,34.542,1.0,trgw_0_13_10
trgw_0_13_10_20160430,34.527,1.0,trgw_0_13_10
trgw_0_13_10_20160531,34.445,1.0,trgw_0_13_10
trgw_0_13_10_20160630,34.319,1.0,trgw_0_13_10
trgw_0_13_10_20160731,34.188,1.0,trgw_0_13_10
trgw_0_13_10_20160831,34.071999999999996,1.0,trgw_0_13_10
trgw_0_13_10_20160930,34.009,1.0,trgw_0_13_10
trgw_0_13_10_20161031,34.015,1.0,trgw_0_13_10
trgw_0_13_10_20161130,34.09,1.0,trgw_0_13_10
trgw_0_13_10_20161231,34.216,1.0,trgw_0_13_10
trgw_0_13_10_20170131,34.355,1.0,trgw_0_13_10
trgw_0_13_10_20170228,34.457,1.0,trgw_0_13_10
trgw_0_13_10_20170331,34.509,1.0,trgw_0_13_10
trgw_0_13_10_20170430,34.486999999999995,1.0,trgw_0_13_10
trgw_0_13_10_20170531,34.397,1.0,trgw_0_13_10
trgw_0_13_10_20170630,34.268,1.0,trgw_0_13_10
trgw_0_13_10_20170731,34.132,1.0,trgw_0_13_10
trgw_0_13_10_20170831,34.034,1.0,trgw_0_13_10
trgw_0_13_10_20170930,34.001999999999995,1.0,trgw_0_13_10
trgw_0_13_10_20171031,34.044000000000004,1.0,trgw_0_13_10
trgw_0_13_10_20171130,34.146,1.0,trgw_0_13_10
trgw_0_13_10_20171231,34.284,1.0,trgw_0_13_10
trgw_0_15_16_20151231,34.141999999999996,1.0,trgw_0_15_16
trgw_0_15_16_20160131,34.25,1.0,trgw_0_15_16
trgw_0_15_16_20160229,34.336,1.0,trgw_0_15_16
trgw_0_15_16_20160331,34.378,1.0,trgw_0_15_16
trgw_0_15_16_20160430,34.36,1.0,trgw_0_15_16
trgw_0_15_16_20160531,34.284,1.0,trgw_0_15_16
trgw_0_15_16_20160630,34.175,1.0,trgw_0_15_16
trgw_0_15_16_20160731,34.064,1.0,trgw_0_15_16
trgw_0_15_16_20160831,33.968,1.0,trgw_0_15_16
trgw_0_15_16_20160930,33.919000000000004,1.0,trgw_0_15_16
trgw_0_15_16_20161031,33.93,1.0,trgw_0_15_16
trgw_0_15_16_20161130,34.0,1.0,trgw_0_15_16
trgw_0_15_16_20161231,34.111,1.0,trgw_0_15_16
trgw_0_15_16_20170131,34.23,1.0,trgw_0_15_16
trgw_0_15_16_20170228,34.314,1.0,trgw_0_15_16
trgw_0_15_16_20170331,34.354,1.0,trgw_0_15_16
trgw_0_15_16_20170430,34.33,1.0,trgw_0_15_16
trgw_0_15_16_20170531,34.248000000000005,1.0,trgw_0_15_16
trgw_0_15_16_20170630,34.135999999999996,1.0,trgw_0_15_16
trgw_0_15_16_20170731,34.02,1.0,trgw_0_15_16
